season,week,gameDate,gameId,gameTimeEastern,HomeScore,VisitorScore,homeTeamAbbr,visitorTeamAbbr,homeDisplayName,visitorDisplayName,Stadium,Location,StadiumType,Turf,GameLength,GameWeather,Temperature,Humidity,WindSpeed,WindDirection
2017,1,09/10/2017,2017091004,13:00:00,35,23,DET,ARI,Detroit Lions,Arizona Cardinals,Ford Field,"Detroit, MI",Indoors,Field Turf,03:26:00,Controlled Climate,68,70,NA,NA
2017,1,09/07/2017,2017090700,20:30:00,27,42,NE,KC,New England Patriots,Kansas City Chiefs,Gillette Stadium,"Foxborough, MA",Outdoor,Field Turf,03:37:00,Clear and warm,63,77,8,SW
2017,1,09/10/2017,2017091003,13:00:00,18,21,CLE,PIT,Cleveland Browns,Pittsburgh Steelers,FirstEnergy,"Cleveland, Ohio",Outdoor,Grass,02:59:00,Sunny,63,53,11,East
2017,1,09/10/2017,2017091002,13:00:00,0,20,CIN,BAL,Cincinnati Bengals,Baltimore Ravens,Paul Brown Stadium,"Cincinnati, Ohio",Outdoor,UBU Sports Speed S5-M,02:57:00,Sunny,68,43,9,SE
2017,1,09/10/2017,2017091000,13:00:00,21,12,BUF,NYJ,Buffalo Bills,New York Jets,New Era Field,Orchard Park NY,Outdoors,A-Turf Titan,02:54:00,Sun & clouds,65,53,6,NNE
2017,1,09/10/2017,2017091001,13:00:00,17,23,CHI,ATL,Chicago Bears,Atlanta Falcons,Soldier Field,Chicago. IL,Outdoor,Grass,02:54:00,Sunny,64,57,10,SE
2017,1,09/10/2017,2017091007,13:00:00,16,26,TEN,OAK,Tennessee Titans,Oakland Raiders,Nissan Stadium,"Nashville, TN",Outdoors,Grass,02:59:00,Sunny,72,50,7,NE
2017,1,09/10/2017,2017091008,13:00:00,17,30,WAS,PHI,Washington Redskins,Philadelphia Eagles,FedExField,"Landover, MD",Outdoors,Grass,03:06:00,Sunny,67,54,5,North
2017,1,09/10/2017,2017091005,13:00:00,7,29,HOU,JAX,Houston Texans,Jacksonville Jaguars,NRG Stadium,"Houston, Texas",Retractable Roof,Artificial,03:06:00,Sunny,80,49,10,NNE
2017,1,09/10/2017,2017091010,16:25:00,17,9,GB,SEA,Green Bay Packers,Seattle Seahawks,Lambeau Field,"Green Bay, WI",Outdoor,DD GrassMaster,03:09:00,Mostly Sunny,71,49,11,S
2017,1,09/10/2017,2017091009,16:05:00,46,9,LA,IND,Los Angeles Rams,Indianapolis Colts,Los Angeles Memorial Coliseum,"Los Angeles, Calif.",Outdoor,Grass,02:59:00,Sunny,90,38,2,SW
2017,1,09/10/2017,2017091011,16:25:00,3,23,SF,CAR,San Francisco 49ers,Carolina Panthers,Levis Stadium,"Santa Clara, CA",Outdoor,Natural Grass,02:55:00,Clear,87,43,8,Northwest
2017,1,09/10/2017,2017091012,20:30:00,19,3,DAL,NYG,Dallas Cowboys,New York Giants,AT&T Stadium,"Arlington, Texas",Indoor,Artificial,02:48:00,NA,NULL,NA,NA,NA
