nflId,FirstName,LastName,PositionAbbr,EntryYear,DraftRound,DraftNumber,Height,Weight,College
79860,John,Stafford,QB,2009,1,1,"6'03""",220,Georgia
71465,Andre,Smith,T,2009,1,6,"6'04""",325,Alabama
80427,Darrius,Heyward-Bey,WR,2009,1,7,"6'02""",210,Maryland
71269,Michael,Crabtree,WR,2009,1,10,"6'01""",214,Texas Tech
71423,Brian,Orakpo,OLB,2009,1,13,"6'04""",257,Texas
79848,Malcolm,Jenkins,SS,2009,1,14,"6'00""",204,Ohio State
80421,Brian,Cushing,ILB,2009,1,15,"6'03""",255,Southern California
71193,Robert,Ayers,DE,2009,1,18,"6'03""",275,Tennessee
80429,Jeremy,Maclin,WR,2009,1,19,"6'00""",198,Missouri
71375,Alex,Mack,C,2009,1,21,"6'04""",311,California
79901,Vontae,Davis,CB,2009,1,25,"5'11""",207,Illinois
80431,William,Matthews,OLB,2009,1,26,"6'03""",255,Southern California
71523,Eric,Wood,C,2009,1,28,"6'04""",310,Louisville
71217,Kenneth,Britt,WR,2009,1,30,"6'03""",223,Rutgers
2507780,Evander,Hood,NT,2009,1,32,"6'03""",305,Missouri
71251,Patrick,Chung,SS,2009,2,34,"5'11""",215,Oregon
79852,Rey,Maualuga,MLB,2009,2,38,"6'02""",258,Southern California
79897,Darius,Butler,FS,2009,2,41,"5'10""",192,Connecticut
79899,Jairus,Byrd,FS,2009,2,42,"5'10""",203,Oregon
71197,Connor,Barwin,OLB,2009,2,46,"6'04""",255,Cincinnati
238227,Michael,Mitchell,FS,2009,2,47,"6'01""",221,Ohio
71493,Max,Unger,C,2009,2,49,"6'05""",305,Oregon
71363,Andrew,Levitre,G,2009,2,51,"6'02""",303,Oregon State
79607,LeSean,McCoy,RB,2009,2,53,"5'11""",210,Pittsburgh
2507783,Sean,Smith,CB,2009,2,61,"6'03""",218,Utah
2507784,Michael,Johnson,DE,2009,3,70,"6'07""",272,Georgia Tech
79611,Roy,Miller,NT,2009,3,81,"6'02""",318,Texas
81306,Brandon,Tate,WR,2009,3,83,"6'01""",195,North Carolina
2507763,Mike,Wallace,WR,2009,3,84,"6'00""",200,Mississippi
2503471,Adam,Vinatieri,K,1996,NULL,NULL,"6'00""",212,South Dakota State
2500351,Philip,Dawson,K,1998,NULL,NULL,"5'11""",200,Texas
2505076,Joshua,McCown,QB,2002,3,81,"6'04""",218,Sam Houston State
2504797,Steven,Bryant,K,2002,NULL,NULL,"5'09""",203,Baylor
2505010,Julius,Peppers,DE,2002,1,2,"6'07""",295,North Carolina
2504844,James,Harrison,OLB,2002,NULL,NULL,"6'00""",242,Kent State
2505245,Carson,Palmer,QB,2003,1,1,"6'05""",235,Southern California
2505552,Terence,Newman,CB,2003,1,5,"5'10""",197,Kansas State
2505660,Terrell,Suggs,OLB,2003,1,10,"6'03""",265,Arizona State
2505629,Christopher,Witten,TE,2003,3,69,"6'06""",263,Tennessee
2505299,Antonio,Gates,TE,2003,NULL,NULL,"6'04""",255,Kent State
2505996,Elisha,Manning,QB,2004,1,1,"6'04""",218,Mississippi
2506106,Larry,Fitzgerald,WR,2004,1,3,"6'03""",218,Pittsburgh
2506121,Philip,Rivers,QB,2004,1,4,"6'05""",228,North Carolina State
2506109,Ben,Roethlisberger,QB,2004,1,11,"6'05""",240,"Miami, O."
2506122,Benjamin,Watson,TE,2004,1,32,"6'03""",251,Georgia
2506112,Karlos,Dansby,ILB,2004,2,33,"6'04""",250,Auburn
2505801,Don,Muhlbach,LS,2004,NULL,NULL,"6'04""",258,Texas A&M
2505827,Jason,Peters,T,2004,NULL,NULL,"6'04""",328,Arkansas
2506340,Alexander,Smith,QB,2005,1,1,"6'04""",217,Utah
2506345,Adam,Jones,CB,2005,1,6,"5'10""",180,West Virginia
2506352,Thomas,Davis,OLB,2005,1,14,"6'01""",235,Georgia
2506353,Derrick,Johnson,ILB,2005,1,15,"6'03""",242,Texas
2506363,Aaron,Rodgers,QB,2005,1,24,"6'02""",225,California
2506220,John,Denney,LS,2005,NULL,NULL,"6'05""",242,Brigham Young
2506223,Jon,Condo,LS,2005,NULL,NULL,"6'03""",240,Maryland
2506264,Robbie,Gould,K,2005,NULL,NULL,"6'00""",190,Penn State
2506268,Lorenzo,Alexander,OLB,2005,NULL,NULL,"6'01""",245,California
2506282,Louis-Philippe,Ladouceur,LS,2005,NULL,NULL,"6'05""",256,California
2506969,Sam,Koch,P,2006,6,203,"6'01""",222,Nebraska
2495807,Antoine,Bethea,SS,2006,6,207,"5'11""",206,Howard
2506974,Zachary,Strief,T,2006,7,210,"6'07""",320,Northwestern
2506706,Donald,Penn,T,2006,NULL,NULL,"6'04""",340,Utah State
2506779,Tom,Johnson,DT,2006,NULL,NULL,"6'03""",288,Southern Mississippi
2506677,Matt,Prater,K,2006,NULL,NULL,"5'10""",201,Central Florida
2506789,Tramon,Williams,CB,2006,NULL,NULL,"6'00""",192,Louisiana Tech
2506861,Brent,Grimes,CB,2006,NULL,NULL,"5'10""",185,Shippensburg
2507010,Ahmad,Brooks,OLB,2006,3,86,"6'03""",259,Virginia
2507162,Joe,Thomas,T,2007,1,3,"6'06""",312,Wisconsin
2507164,Adrian,Peterson,RB,2007,1,7,"6'01""",220,Oklahoma
2507166,Ted,Ginn,WR,2007,1,9,"5'11""",180,Ohio State
2495663,Marshawn,Lynch,RB,2007,1,12,"5'11""",215,California
2495762,Lawrence,Timmons,OLB,2007,1,15,"6'01""",242,Florida State
2507167,Reggie,Nelson,FS,2007,1,21,"5'11""",210,Florida
2495746,Joe,Staley,T,2007,1,28,"6'05""",315,Central Michigan
2495700,Gregory,Olsen,TE,2007,1,31,"6'05""",255,Miami
2495561,Alan,Branch,DT,2007,2,33,"6'06""",350,Michigan
2495712,Paul,Posluszny,MLB,2007,2,34,"6'02""",232,Penn State
2495775,Eric,Weddle,FS,2007,2,37,"5'11""",200,Utah
2495621,David,Harris,OLB,2007,2,47,"6'02""",250,Michigan
2495597,Justin,Durant,OLB,2007,2,48,"6'01""",230,Hampton
2495655,Ryan,Kalil,C,2007,2,59,"6'02""",300,Southern California
2507187,Charles,Johnson,DE,2007,3,83,"6'02""",278,Georgia
2495677,Brandon,Mebane,NT,2007,3,85,"6'01""",311,California
2507188,Marshal,Yanda,G,2007,3,86,"6'03""",305,Iowa
2507029,Eric,Weems,WR,2007,NULL,NULL,"5'09""",195,Bethune-Cookman
4485,Josh,Sitton,G,2008,4,135,"6'03""",320,Central Florida
4365,Brandon,Carr,CB,2008,5,140,"6'00""",210,Grand Valley State
2307,Orlando,Scandrick,CB,2008,5,143,"5'10""",196,Boise State
2507374,Stephen,Hauschka,K,2008,NULL,NULL,"6'04""",210,North Carolina State
2507463,Connor,Barth,K,2008,NULL,NULL,"5'11""",204,North Carolina
2495723,Brian,Robison,DE,2007,4,102,"6'03""",259,Texas
2507200,Zak,DeOssie,LS,2007,4,116,"6'04""",249,Brown
2495542,Allen,Barbre,G,2007,4,119,"6'04""",310,Missouri Southern
2507203,Jermon,Bushrod,G,2007,4,125,"6'05""",318,Towson
2507218,Brent,Celek,TE,2007,5,162,"6'04""",255,Cincinnati
2495613,Corey,Graham,FS,2007,5,168,"6'00""",196,New Hampshire
2507220,William,Gay,CB,2007,5,170,"5'10""",187,Louisville
2507225,Nick,Folk,K,2007,6,178,"6'01""",222,Arizona
2507232,Mason,Crosby,K,2007,6,193,"6'01""",207,Colorado
2495620,Clark,Harris,LS,2007,7,243,"6'05""",250,Rutgers
2507262,Brett,Goode,LS,2007,NULL,NULL,"6'01""",255,Arkansas
4327,Danny,Woodhead,RB,2008,NULL,NULL,"5'08""",200,Chadron State
2507412,Jeffrey,Jansen,LS,2008,NULL,NULL,"6'02""",235,Notre Dame
2649,Daniel,Amendola,WR,2008,NULL,NULL,"5'11""",190,Texas Tech
2507428,William,Tolbert,FB,2008,NULL,NULL,"5'09""",250,Coastal Carolina
81879,Lardarius,Webb,FS,2009,3,88,"5'10""",185,Nicholls State
71265,Jared,Cook,TE,2009,3,89,"6'05""",254,South Carolina
89746,Thomas,Lang,G,2009,4,109,"6'04""",315,Eastern Michigan
71441,Glover,Quin,FS,2009,4,112,"6'00""",207,New Mexico
71333,Kevin,Huber,P,2009,5,142,"6'01""",211,Cincinnati
71407,Thomas,Morstead,P,2009,5,164,"6'04""",235,Southern Methodist
2507793,Don,Carey,FS,2009,6,177,"5'11""",202,Norfolk State
238457,Zachary,Miller,TE,2009,6,180,"6'05""",245,Nebraska-Omaha
238466,Brice,McCain,CB,2009,6,188,"5'09""",190,Utah
81871,Matthew,Slauson,G,2009,6,193,"6'05""",315,Nebraska
89756,Jason,McCourty,CB,2009,6,203,"5'11""",195,Rutgers
80668,Captain,Munnerlyn,CB,2009,7,216,"5'09""",195,South Carolina
